model,dt,T,N,relative_rmse
GBM,0.003968253968253968,1.0,1,2.0720436745755864
OU,0.003968253968253968,1.0,1,0.7311820545824942
GBM,0.003968253968253968,2.0,1,1.30374576635683
OU,0.003968253968253968,2.0,1,0.4065841956371673
GBM,0.003968253968253968,3.0,1,1.2966227370123031
OU,0.003968253968253968,3.0,1,0.3256330795135672
GBM,0.007936507936507936,1.0,1,2.209871115551732
OU,0.007936507936507936,1.0,1,0.8531217158217246
GBM,0.007936507936507936,2.0,1,1.33910608438128
OU,0.007936507936507936,2.0,1,0.40686009741673246
GBM,0.007936507936507936,3.0,1,0.9494496748223513
OU,0.007936507936507936,3.0,1,0.23999824129100858
GBM,0.015873015873015872,1.0,1,1.9935741156848168
OU,0.015873015873015872,1.0,1,954.3540665297112
GBM,0.015873015873015872,2.0,1,1.1866592334697805
OU,0.015873015873015872,2.0,1,0.41573018910464077
GBM,0.015873015873015872,3.0,1,1.0587349218684652
OU,0.015873015873015872,3.0,1,0.30322887433771734
GBM,0.003968253968253968,1.0,5,0.9637133594769928
OU,0.003968253968253968,1.0,5,0.24653825603749172
GBM,0.003968253968253968,2.0,5,0.7132322642798988
OU,0.003968253968253968,2.0,5,0.14826432875844073
GBM,0.003968253968253968,3.0,5,0.4535450790222021
OU,0.003968253968253968,3.0,5,0.09647837432596099
GBM,0.007936507936507936,1.0,5,0.7776498212404647
OU,0.007936507936507936,1.0,5,0.24676109617609066
GBM,0.007936507936507936,2.0,5,0.5522330633870743
OU,0.007936507936507936,2.0,5,0.14521266862224086
GBM,0.007936507936507936,3.0,5,0.5859217488191366
OU,0.007936507936507936,3.0,5,0.12798491068724532
GBM,0.015873015873015872,1.0,5,0.8004526802279622
OU,0.015873015873015872,1.0,5,0.2954463652885007
GBM,0.015873015873015872,2.0,5,0.6500603249303161
OU,0.015873015873015872,2.0,5,0.1408045683009113
GBM,0.015873015873015872,3.0,5,0.5390324351280992
OU,0.015873015873015872,3.0,5,0.10553565368808812
GBM,0.003968253968253968,1.0,20,0.49047716400007657
OU,0.003968253968253968,1.0,20,0.14011580520173275
GBM,0.003968253968253968,2.0,20,0.25193762301113864
OU,0.003968253968253968,2.0,20,0.06997854121098382
GBM,0.003968253968253968,3.0,20,0.2643206378165166
OU,0.003968253968253968,3.0,20,0.04934450414816254
GBM,0.007936507936507936,1.0,20,0.4184731638869587
OU,0.007936507936507936,1.0,20,0.1501635555219474
GBM,0.007936507936507936,2.0,20,0.3407138995020328
OU,0.007936507936507936,2.0,20,0.06029802078756387
GBM,0.007936507936507936,3.0,20,0.25061233282257017
OU,0.007936507936507936,3.0,20,0.05931750259029346
GBM,0.015873015873015872,1.0,20,0.3881947031375027
OU,0.015873015873015872,1.0,20,0.131475718631534
GBM,0.015873015873015872,2.0,20,0.30386394273339234
OU,0.015873015873015872,2.0,20,0.06064773084350288
GBM,0.015873015873015872,3.0,20,0.26801575910485587
OU,0.015873015873015872,3.0,20,0.0479477806272923
