replication,seed,mu_hat,sigma_hat,nll
0.0,1000.0,0.1377971188673791,0.2084196603322121,-1468.6447275993205
1.0,1001.0,0.05923789122765218,0.21942312848987025,-1442.7147872957812
2.0,1002.0,-0.17950630622211092,0.21240200083808883,-1459.1054891829287
3.0,1003.0,-0.14731314921521516,0.21069640856554786,-1463.1689639672252
4.0,1004.0,0.15808412950766518,0.22310150918376534,-1434.335824121165
5.0,1005.0,-0.04805567545632195,0.22316494322771888,-1434.192553270884
6.0,1006.0,-0.04382757752567102,0.2202942900921917,-1440.7177500920013
7.0,1007.0,0.12614628674433473,0.21995651558939228,-1441.4911099128633
8.0,1008.0,-0.05866515525764554,0.21759377883375491,-1446.9342825704716
9.0,1009.0,0.03302144678919706,0.21592363677110937,-1450.817669674125
10.0,1010.0,0.1045931521388066,0.22014708567984734,-1441.0546339044176
11.0,1011.0,0.026556328545319183,0.2273851988128641,-1424.7504374225416
12.0,1012.0,-0.0236937090776076,0.21651047770006118,-1449.4497479498273
13.0,1013.0,0.18136402192929274,0.22358793580755107,-1433.238162895602
14.0,1014.0,-0.15359289450948171,0.21567042604021555,-1451.4090403039
15.0,1015.0,0.259612177909547,0.21556345318251907,-1451.6590870835364
16.0,1016.0,-0.06869593852844831,0.22245257780539163,-1435.803936099098
17.0,1017.0,0.20025191680392876,0.2255734354516076,-1428.7823107110337
18.0,1018.0,-0.04416710926772395,0.2221756540057797,-1436.4317499267
19.0,1019.0,0.04791778168672807,0.22276056207373343,-1435.1066438759424
20.0,1020.0,0.30097344399059145,0.21824251598181565,-1445.4338854351922
21.0,1021.0,0.4255826811713184,0.2225423182447096,-1435.6006667241943
22.0,1022.0,0.20943323960723823,0.2207330818107941,-1439.7148595086214
23.0,1023.0,0.1376633226240659,0.21417833745223197,-1454.908023066756
24.0,1024.0,-0.11362919071355705,0.21311844021005774,-1457.4083482561666
25.0,1025.0,0.02801582224302539,0.20873643072892636,-1467.879297755814
26.0,1026.0,-0.12070303701620314,0.21419608869254875,-1454.8662502748296
27.0,1027.0,0.18683639319901674,0.21839134045472597,-1445.0903238270002
28.0,1028.0,0.0865182237410698,0.22524945136684393,-1429.506710521273
29.0,1029.0,0.32116144191630824,0.20312778163199216,-1481.60681019769
30.0,1030.0,0.17114837269734479,0.22881757474373138,-1421.5855296960278
31.0,1031.0,0.0396687223717928,0.20858251827710755,-1468.2510688117598
32.0,1032.0,-0.033219984207886806,0.2282341758076497,-1422.8721916520808
33.0,1033.0,-0.07124987652969608,0.22681817702143442,-1426.0088153709848
34.0,1034.0,0.09337150410456137,0.22507051990579086,-1429.9072220460343
35.0,1035.0,0.0664611909885573,0.2175321546225255,-1447.0770394152344
